# time_step	time	error
0	0.000000	0.000000e+00
1	0.050000	2.235751e-02
2	0.100000	3.690084e-02
3	0.150000	5.090014e-02
4	0.200000	6.414519e-02
5	0.250000	7.643697e-02
6	0.300000	8.759060e-02
7	0.350000	9.743818e-02
8	0.400000	1.058312e-01
9	0.450000	1.126431e-01
10	0.500000	1.177706e-01
11	0.550000	1.211358e-01
12	0.600000	1.226872e-01
13	0.650000	1.224084e-01
14	0.700000	1.207597e-01
15	0.750000	1.513761e-01
16	0.800000	4.929403e-01
17	0.850000	3.570533e+00
18	0.900000	3.378336e+01
19	0.950000	3.146101e+02
20	1.000000	2.959597e+03
